Title,Artist,Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Uploaded Image URL,Activities
追梦人,凤飞飞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:40:09.015450954,,,,,,,,人生,0,,
走马,陈粒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:24:54.021224975,,,,,,,,,0,,
走马,摩登兄弟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:25:07.050991058,,,,,,,,,0,,
Angel of the Morning,Juice Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:02:45.562639951,,,,,,,,,0,,
Beautiful In White,Shane Filan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:30:57.700116038,,,,,,,,爱情,0,,
Brothers In Arms,Dire Straits,,,"[{""title"":""Dire Straits - Brothers In Arms - (album completo)"",""youtubeID"":""eX0IjD5DPQI""},{""title"":""Dire Straits - Brothers in Arms ( war version )"",""youtubeID"":""qGpwKQo5_Z0""},{""title"":""Dire Straits - Brothers in arms official video clip 1985, mark knopfler"",""youtubeID"":""2PX_1rvmu5A""},{""title"":""Dire Straits - Money For Nothing Original video"",""youtubeID"":""7Q2SUXn6rSU""},{""title"":""Dire Straits - Money For Nothing music video (Good quality, all countries)"",""youtubeID"":""lAD6Obi7Cag""},{""title"":""Dire Straits - Walk of Life (with Eric Clapton) (Live @ Wembley Arena, 1988) HD"",""youtubeID"":""67PqPZbFSsQ""}]",,,,1985,,"[{""title"":""1. So Far Away"",""duration"":311},{""title"":""2. Money For Nothing"",""duration"":506},{""title"":""3. Walk Of Life"",""duration"":252},{""title"":""4. Your Latest Trick"",""duration"":393},{""title"":""5. Why Worry"",""duration"":511},{""title"":""6. Ride Across The River"",""duration"":418},{""title"":""7. The Man's Too Strong"",""duration"":280},{""title"":""8. One World"",""duration"":220},{""title"":""9. Brothers In Arms"",""duration"":420}]",,Rock,,,,,"Keyboards - Guy Fletcher,Vocals - Mark Knopfler,Vocals - John Illsley,Bass - John Illsley,Drums - Terry Williams (3),Guitar - Mark Knopfler,Keyboards - Alan Clark,Drums - Omar Hakim,Vocals - Guy Fletcher",,,,,,CD,,专辑,,,,,,,,,1,5.000000,,,,,,0,,,,,,,,,,,,768493,,0,,
Burn,Ellie Goulding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:48:44.558503031,,,,,,,,,0,,
Champion,The Chevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:55:05.756919980,,,,,,,,运动,0,,
Cheap Thrills,Sia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:40:58.816962003,,,,,,,,,0,,
Dark Horse,"Katy Perry,Juicy J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:53:13.313712000,,,,,,,,,0,,
Demons,Imagine Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:41:19.692410945,,,,,,,,,0,,
Dream It Possible,Delacey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:08:53.138589978,,,,,,,,人生,0,,
Fight Song,Rachel Platten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:14:08.061256051,,,,,,,,人生,0,,
First Love,宇多田光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:52:32.454859018,,,,,,,,,0,,
Five Hundred Miles,Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:41:49.554170012,,,,,,,,,0,,
Good Time,"Owl City,Carly Rae Jepson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:29:42.054586052,,,,,,,,爱情,0,,
Hall of Fame,The Script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:53:57.864616990,,,,,,,,,0,,
Here With You,Asher Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:47:07.770300030,,,,,,,,,0,,
Hero,Family of the Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:42:55.655496954,,,,,,,,,0,,
I Bet My Life,Imagine Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:20:54.927346944,,,,,,,,,0,,
If Today Was Your Last Day,Nickelback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:53:19.348763942,,,,,,,,,0,,
If You Could See Me Now,The Script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:56:00.369750022,,,,,,,,亲情,0,,
It's My Life,Bon Jovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:54:24.607622027,,,,,,,,,0,,
Journey 旅程,Shaun Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:19:55.888360023,,,,,,,,,0,,
Let My Love Open The Door,Luminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:03:20.791072964,,,,,,,,爱情,0,,
Like A Rolling Stone,Bob Dylan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:48:04.709449052,,,,,,,,,0,,
